Patente;Nro.;VTV;MOVIL;Marca;Modelo;Kilometraje 8/9/2025;Kilometraje 15/9/2025;Kilometraje 22/9/2025;Kilometraje 29/9/2025;Prom.Sem;AÑO;Usuario;Prox. Serv KM Aceite y filtros;OBSERVACIONES
AA909VN;11;sept-22;15;Renault;Oroch;87.583;;;;-29194;2017;3015;110.000;Se le hizo servis a los 100.000 km el 12/01/24. Se le hizo el cambio de Filtro y aceite a los 70.970 Km el dia 21-8/23. En fecha 2-5-23, se le cambiaron las pastillas de frenos.  En fecha 13-3-23, se le reemplazo la dist.completa, con bomba de agua y se le realizo cambios de filtros y aceite a los 58.927.KMS.
AA909VM;12;sept-22;16;Renault;Oroch;120.834;;;;-40278;2017;3016;125.000; Se le hizo servis a los 115.000 km el dia 03/05.  Se le hizo servis a los 94.602 km el dia 29/01. Se le hizo servis a los 87.982 el 17-11-23. Se le realizo servicio de cambio de filtro aceite a los Km 75.545..Se le hizo servicio en fecha 3-5-23, a los 63.752 Kms. Y cambio de pastillas de frenos
AB027KG;13;jul-22;17;Renault;Oroch;;;;;0;2017;3017;151.000;Se le hizo cambio filtro y aceite a los 141.095 Km. Se le reparo el alternador a las 135.400 km.   
AB027KF;14;jul-23;18;Renault;Oroch;189.686;;;;-63229;2017;3018;190.000;Se le hizo el servis a ls 180.000 km el 03/03/25. Se le hizo servis a los 171.500 km el 18/9/24. Se le hizo cambio de filtro y aceite el 21/2/24 a los 161.000 km. Se le hizo cambio de filtro y aceite a los 153.097 km el 12/9/23. Se le hizo serv. En fecha 27-4-23, a los 142.432 Kms.  Se le hizo cambio de aceite y filtro el dia 2/8/22, a los 120.226 KM,  se le cambio las pastillas de Frenos a los KM 127.329.Y se le hizo Cambio de aceite y filtro el 19-12-22 a los 131434
AB934RE;15;abr-22;19;Renault;Kangoo;158.572;;;;-52857;2017;3019;164.000;Se le hizo servis a los 154.000 km 
AC515JH;16;may-22;21;Renault;Kangoo;161.190;;;;-53730;2018;3021;170.000;Se le hizo servis a los 160.000 km el 02/06/25. Se le hizo servis a los 143.000 km el 02/9/24. se le hizo servi a los 125.000 km el 17/1/24. Se le hizo cambio de filtro y Aceite a los 110.118 km el 19/9/23. 
AC515JI;17;may-22;22;Renault;Kangoo;169.250;;;;-56417;2018;3022;180.000;Se le realizo cambio de filtro y aceite a los 169.000 km el 27/9/25. se le hizo servicio de cambio filtro y aceite a los 160.434 km el 19/9/23. QUIETA Service 148 mil.06-06/ GNC
AD503HS;18;mar-23;23;Renault;Kangoo;;;;;0;2019;3023;;Baja. service 90, GNC 15-06
AD503HV;19;mar-22;24;Renault;Kangoo;140.816;;;;-46939;2019;3024;160.000;Se le hizo el sevis de los 150.000 km el 1/05/25. Se le hizo el sevis de los 140.000 km el 19/10/24. Se le hizo cambio de filtro y aceite a los 133.992 km. Se le hizo cambio de filtro y aceite a los 120.157 km el dia 27/9/23 .En fecha 23-1-23,  Se le cambio la distribución completa con bomba de agua , Se le cambio la correa poli-V y se realizó cambio de filtros y aceite a los KM 111910.
AE277NR;20;jul-23;25;Renault;Kangoo;;;;;0;2020;3025;50.000;VENDIDA
AE580VI;21;oct-24;26;Renault;Kwid;57.500;;;;-19167;2021;3026;60.000;Se le hizo servicio de cambio filtro y aceite a los 50.000 km al 19/9/23. se le hizo servis de los 40.000 km el (20/4/22).
AE626OT;22;jun-24;27;Renault;Alaskan;;;;;0;2021;3027;120.000;Se le hizo servis cambio de filtro y aceite a los 100.000 km el dia 18/10/23 .Se le hizo servicio 07-11-22, a los 79,000 y se le cambio amortiguador..Se le cambiaron las pastillas de freno el 4-5-23. A los 91115 Kms.
AE626OU;23;jun-24;28;Renault;Alaskan;;;;;0;2021;3028;120.000;Se le hizo servis de los 100.000 km el 26/9/23 .Se le hizo servicio JUEVES 20-10-22 por los 80.000KMS
AE626OV;24;jun-24;29;Renault;Alaskan;;;;;0;2021;3029;100.000;VENDIDA
AE667QV;25;jun-24;30;Renault;Alaskan;;;;;0;2021;3030;120.000;Se le hizo el servis de los 100.000 km el dia 29/01. Se le hizo servico 80.000  viernes 21-10-22
AE667QX;26;jun-24;31;Renault;Alaskan;98.095;;;;-32698;2021;3031;100.000;Se le realizo servicio 18/10/2022A  LOS 80.000KMS-----Hacer Service 100.000
AE694IC;27;abr-24;32;Renault;Alaskan;;;;;0;2021;3032;100.000;Se le hizo serv. 24/1/23 a los 80.335 km. Se le hizo cambio de correa 01-8-22/61.582KM
AE870CP;28;oct-24;34;Renault;Oroch;94.366;;;;-31455;2021;3034;100.000;Se le hizo servis de los 90.000 km el 12/03/25. 
AE870CQ;29;oct-24;35;Renault;Oroch;80.500;;;;-26833;2021;3035;90.000;Se le hizo servis de los 80.000 km el 12/03/25. 
AE937QN;30;jul-24;36;Fiat;Cronos;100.883;;;;-33628;2021;3036;100.000;se le hizo servis de los 90.000 km el dia 11/11/24. se le hizo servis de los 80.000 km el dia 25/06/24. se le hizo servis de los 70.000 km el dia 26/01. Se le hizo cambio de filtro y Aceite a los 60.391 km el dia 7/8/23.Se le hizo Service a los 54,745 en fecha 3-6-2023
AE937QO;31;jul-24;37;Fiat;Cronos;;;;;0;2021;3037;60.000;VENDIDA
AE937QP;32;jul-24;38;Fiat;Cronos;212.300;;;;-70767;2021;3038;220.000;Se le hizo el servis de 210.000 km el 06/8/25. Se le hizo el servis a los 192.000 km. Se le hizo el servis de los 188.000  km el 19/02/25. Se le hizo el servis a los 178.000 km el 04/01/25. Se le hizo el servis de los 167.000 km el 12/11/24. Se le hizo el servis de los 150.000 km el 20/8/24. Se le hizo el servis a los 137.875 km el 04/6/24. Se le hizo el servis a los 125.049 km el 08/4/24 .Se le hizo servis de los 100.000 km a los 107.777 km el dia 26/1/24. se le hizo sevis a los 92.949 el 23/11/23.Se le realizo Cambio e Filtro y Aceite a lo 77.000 km el dia 18/9/23. Se le realizo servicio de cambio de filtro y aceite a los 66.902 km el dia 3/8/23. Se le hizo servicio 10-1-23, a los 49085
AE937QV;33;jul-24;39;Renault;Alaskan;;;;;0;2021;3039;140.000;Se le realizo el servis de los 120.000 km el 27/3/24. Se le realizo el servis a los 100.000 km el 23/12/23. Se le realizo servicio de cambio de filtro y aceite a los 80.000 km el dia 15/9/23. Se le realizó serv. 2-2-23, A LOS 60,000KMS. Y El 21-10-22, se le hizo serv. Por los 40,000 Kms.Hacer Service 60.000
AE937QW;34;jul-24;40;Renault;Alaskan;96.465;;;;-32155;2021;3040;100.000;Se le hizo serv. De 80.000 Km en fecha 10-4-2023. y SE LE HIZO CAMBIO DE CORREA 60.000, 05-8-2022
AF047UE;35;jul-24;41;Renault;Alaskan;;;;;0;2021;3041;100.000;VENDIDA
AF047UQ;36;jul-24;42;Renault;Alaskan;175.648;177.409;;;-58549;2021;3042;180.000;se le hizo servi a los 160.000 km el 03/12/24. se le hizo servi a los 140.000 km el 04/04/24. Se le hizo servis de los 120.000 km el 15/12/23. Se le hizo el sevis de los 100.000 km para cambio de filtro y aceite el dia 25/9/23 .el dia 7/07 Se llevo al Servis para revision en Garantia. Se le hizo serv. De 80,000Kms. En fecha 22-5-23. Se le hizo servicio a los 59,800..JUEVES 8-9-22 
AF047UR;37;jul-24;43;Renault;Alaskan;151.090;;;;-50363;2021;3043;160.000;Se le hizo el servis de los 140.000 km el 10/12/24. Se le hizo el servis de los 120.000 el dia 25/6/24. se le hizo el servis a los 100.000 km el 16/2/24. Se le hizo el servis de los 80.000 km el 11/12/23. se le hizo servis a los 60.000 km el dia 04/10/23. SERVICIO POR LOS 40.000 km  EN FECHA 25-10-2022/ LUNES 31/10/22...EL 27-7-22. Se le realizó cambio de aceite y filtros /Km. 20,930
AF047UW;38;jul-24;44;Renault;Alaskan;161.750;;;;-53917;2021;3044;180.000;Se le hizo el servis de los 160.000 km el 30/06/25. Se le hizo el servis de los 140.000 km el 25/10/24. Se le hizo el servis de los 120.000 km el 15/4/24. Se le hizo servis de los 100.000 km el dia 21/11/23. Se le hizo Servicio de los 80.000 km el dia 11-8-23. Se le hizo serv. Por 60,000 KMS. En fecha 8-5-23. Se le hizo Serv. 31-1-23, A los 40,000KMS. Y Se le hizo Servicio por 20.000Kms. / LUNES 17-10-22
AF047UX;39;jul-24;45;Renault;Alaskan;115.186;;;;-38395;2021;3045;120.000;Se le hizo servis de los  100.000 Km el 5/11/24. Se le hizo servis de los 80.000 km al 17/01/24. se le hizo el servis de los 60.000 km el 31/10/23. esta en el Taller de Temperley. YA SE LE HIZO SERVICIO 28-7-22 / KMS. 39.700… HACER SERV. A LOS 60.000. Se le cambio pastillas de frenos a los 52,631KMS. EL 3-1-23
AF086CU;40;jul-24;46;Renault;Alaskan;144.426;;;;-48142;2021;4264;160.000;Se le realizo servis de los 140.000 km el 16/01/25. Se le hizo servis de los 120.000 km el 20/02. Se le hizo servis de los 100.000 km cambio de filtro y aceite. SE LE HIZO SERVICIO por los 80.000 EN FECHA 17-4-2023 Y  A LOS 59,458KM. EN FECHA 18/8/22
AF138CR;41;jul-24;47;Renault;Alaskan;;;;;0;2021;3047;120.000;VENDIDA
AF174KK;42;abr-25;48;Renault;Alaskan;169.691;169.923;;;-56564;2022;3048;180.000;Se le hizo el servis de los 160.000 km el 24/6/25.  Se le hizo el servis de los 140.000 km el 27/6/24. Se le hizo servis de los 120.000 km el 24/01. Se le hizo servis de los 100.000 km cambio de filtro y aceite el 10/10/23. Se le hizo el servicio de cambio de filtro y Aceite a los 80.000 km el dia 23-08/23.Se le hizo serv.de 60.000 Km. 31-3-2023. Se le hizo service  a los Km.40.000 el dia  lunes 24-10-22
AF215FN;43;may-25;49;Renault;Alaskan;127.781;131.721;132.667;;-42594;2022;3049;140.000;Se le hizo servis de los 120.000 km el 29/07/25. Se le hizo servis de los 100.000 km el 19/03/25. El dia 7/8/23, Se le realiza servicio Cambio de filtro y Aceite a los 80.000 km. Se le realizo Serv. Por los 60.000 Km el 12-12-22 Se le realizo serv.02/09/2022., A los 40.583 Km.
AF215FO;44;may-25;50;Renault;Alaskan;147.654;150.400;151.730;;-49218;2022;3050;160.000;Se le hizo servis de los 140.000 el 10/07/25.  Se le hizo servis de los 120.000 el 13/08/24. Se le hizo el servis a los 100.000 km el 08/01/24. se le hizo el servis de cambio filtro y aceite a los 80.000 km el dia 18/10/23. Se le realizo servis de los 60.000 km el dia 3/8/23. Se le realizo serv. El 03-05-2023. por los 40.000 Km. Se le realizó servicio el 14-10-2022. P/ 20.000 Km.
AF237KR;45;jul-25;51;Renault;Sandero;41.332;;;;-13777;2022;3051;50.000;Se le hizo el servis de los 40.000 km el 22/01/25. Se le hizo el servis de los 30.000 km el 24/7/24. Se le hizo servis a los 20.000 km el 8/01/24. Se le hizo Service  de 10.000 Km, el dia 18-4-2023
AF237KT;46;jul-25;52;Renault;Sandero;;;;;0;2022;3052;30.000;VENDIDA
AF270OW;47;oct-25;53;Renault;Sandero;50.979;;;;-16993;2022;3053;60.000;Se le hizo el servis de los 50.000 km el 11/06/25. Se le hizo el servis de los 40.000 km el 02/9/24. Se le hizo el servis de los 30.000 km el dia 16/5/24. Se le hizo el servis de los 20.000 km el dia 07/02/24. Se le hizo Servi a los 10.000 Km el 20/9/23
AF270OX;48;oct-25;54;Renault;Sandero;67.319;;;;-22440;2022;3054;70.000;Se le realizo el servis de los 60.000 km el 06/06/25. Se le realizo el servis de los 50.000 km el 30/10/24. Se le realizo el servis de los 40.000 km el 03/4/24. Se le realizo Servicio de Cambio de Filtro y Aceite a los 30.000 km. El dia 21-7-23.  Se le hizo serv. 23-1-23, A los 20.878 Km. Se le hizo servicio por  10.000 / MIÉRCOLES 19-10-22
AF305MA;49;may-25;55;Renault;Alaskan;164.054;;;;-54685;2022;3055;180.000;Se le ralizo el servis de los 160.000 km el 14/05/25. Se le ralizo el servis de los 140.000 km el 26/11/24. se le ralizo el servis de los 120.000 km el 17/4/24. Se le realizo servis de los 100.000 km el dia 05/10/23. Se le realizo serv. Por los 80,000 Km, el 16-2-23. Se le realizo serv. Por los 60.000 Km. El 5-12-22. Se le realizo serv. El 7-7-22 LOMAS DE ZAMORA POR LOS 20.000 Km Y EL VIERNES 23-9-22, SE LE REALIZO POR LOS 40,000 Km.. 
AF305MB;50;may-25;56;Renault;Alaskan;138.009;138.284;;;-46003;2022;3056;140.000;se le realiza servis a los 120.000 km el 18/12/23. Se le realizo servis de los 100.000 km el dia 22/9/23. Se le realizó serv. Por 80,000 Km el 30-3-23. Se le realizo Serv. p/60,000 Km. El 6-1-23. Se le realizó  serv.13/10/2022 por 40,000 Km  ----- El 15-7-22 se le hizo a los 20,000 km/ 
AF333BS;51;mar-25;57;Renault;Alaskan;121.802;;;;-40601;2022;3057;140.000;Se le hizo el servis de los 120.000 km el 09/04/25. Se le hizo el servis de los 100.000 km el 17/7/24. Se le hizo servis de los 80.000 km el 9/01/24. Se hizo servicio de cambio de filtro y aceite a los 60.000 km el dia 4/9/23. Se le hizo serv. Por 40,000 Km. En fecha 04-5-23. Se le hizo service por 20.000 Km. el dia 27-12-22
AF333BT;52;mar-25;58;Renault;Sandero;100.000;;;;-33333;2022;3058;110.000;Se le hizo el servis de los 100.000 km el 25/07/25. Se le hizo el servis de los 90.000 km el 29/04/25. Se le hizo el servis de los 80.000 km el 27/02/25. Se le hizo el servis de los 70.000 km el 20/11/24. Se le hizo el servis de los 60.000 km el 2/8/24. se le hizo servis de los 50.000 km el dia 16/5/24 . se le hizo servis de los 40.000 km el dia 30/1. Se le realizo el servis de los 30.000 km el 22/12/23. Se le realizo el servis de cambio de filtro y aceite a los 20.000 km el dia 1-9-23. Se le realizo  Service en fecha 22-6-23, a los 10.600Kms.
AF333BU;53;mar-25;59;Renault;Alaskan;177.318;179.134;;;-59106;2022;3059;180.000;"se le hizo el servis de los 160.000 km el 14/01/25. Se le hizo el servis de los 140.000 km el 17/10/24. Se le hizo el servis de los 120.000 km el 11/12/23. Se realizo cambio de Filtro y aceite a los 100.000 km el 06-09-23. EN FECHA 13-6-2023, SE LE HIZO SERV. POR 80.000 Km.  Y  EN FECHA 07-3-23, SE LE HIZO SERV. POR 60.000 Km Y se le cambiaron las pastillas de freno a los 59,850KMs. /Y por los 40,000Kms.29-11-22; SE LE HIZO SERVICIO A LOS 20,900KM. Dia VIERNES 9-9-22"
AF333BV;54;mar-25;60;Renault;Alaskan;167.450;169.585;;;-55817;2022;3060;180.000;Se le realizo el servis de los 160.000 km el 27/06/26. Se le realizo el servis de los 140.000 km el 11/03/25. Se le realizo el servis de los 120.000 km el 11/3/24. Se le realizo servis de los 100.000 km el 29/11/23. Se le hizo el servicio de los 80.000 km el 15/8 .Se le hizo serv. Por 60,000 Km. EN FECHA 5-5-23. Se le hizo serviSe le hizo serv. Por los 40,000 Km. En fecha  30/1/23. 
AF333BW;55;mar-25;61;Renault;Sandero;88.503;93.000;;;-29501;2022;3061;100.000;Se le hizo el servis de los 90.000 km el 23/09/25. Se le hizo el servis de los 80.000 km el 17/03/25. Se le hizo el servis de los 70.000 km el 20/11/24. Se le hizo el servis de los 60.000 km el 27/8/24. Se le hizo servis de los 50.000 km el dia 14/6/24. Se le hizo servis de los 40.000 km e 24/04/24. se le hizo el servis de los 30.000 km el 13/03/24. Se le hizo el servis de los 20.000 km el 20/12. Se le hizo servis de los 10.000 Km el dia 27/9/23
AF421HL;56;ene-25;62;Renault;Sandero;80.000;;;;-26667;2022;3062;90.000;Se le hizo el servis de los 80.000 km el 30/06/25. Se le hizo el servis de los 70.000 km el 05/03/25. Se le hizo servis de los 60.000 km el 11/11/24. Se le hizo servis de los 50.000 km el 23/7/24. se le hizo servis de los 40.000 km e 13/03/24. Se le hizo el servis de los 30.000 km el 06/11/23. Ingreso a la Renault para serv. De 20.000 Km. Y repar. DE Chapa y pintura, El 5-6-23.   Se le hizo service por 10.000 Km. el dia 20-12-22
AF421HY;57;ene-25;63;Renault;Alaskan;141.000;143.000;143.777;;-47000;2022;3063;140.000;Se le realizo el servis de los 140.000 el 09/9/24. Se le realizo el servis de los 120.000 el 05/8/24. Se le realizo el servis de los 100.000 km el 26/12/23. Se le realizo el servis de los 80.000 km el dia 23/10/23. Se le realizo el servicio de los 60.000 km el dia 23-08-23. Se le realizo serv. EL 8-6-23, a los 40,986 Km. Se le hizo servicio por los 20.000 Km.En fecha 06-12-2022
AF452DA;58;feb-25;64;Renault;Alaskan;109.293;109.917;111.176;;-36431;2022;3064;120.000;Se le hizo servis de los 100.000 km. EL 25/04/25. se le hizo servis de los 80.000 km. EL 25/04/25. se le hizo servis de los 60.000 km el 13/01/25. Se le hizo el servis de los 40.000 km el 26/9/24.  Se le hizo servicio de los 20.000 Km el dia 02/10/23 cambio d filtro y aceite.
AF481OU;59;jul-23;65;Renault;Sandero;67.774;;;;-22591;2022;3065;70.000;Se le hizo el servis de los 60.000 km el 14/05/25. Se le hizo el servis de los 50.000 km el 26/02/25. Se le hizo el servis de los 40.000 km el 3/01/25. Se le hizo servicio a los 30.000 km el 24/10/24. Se le hizo servicio a los 20.000 km el 23/5/24. se le hizo servis a de los 10.000 Km el 12/10/23
AF481OR;60;jul-23;66;Renault;Sandero;49.750;;;;-16583;2022;3066;50.000;Se le hizo el servis de los 40.000 km el 19/02/25. Se le hizo el servis de los 30.000 km el 04/06/24. Se le hizo servicio de filtro y aceite a los 20.000 km el 13/9/23. Se le hizo servicio 9-5-23. A los 10.400 Km.
AF481PB;61;jul-25;67;Renault;Alaskan;152.124;153.640;154.918;;-50708;2022;3067;160.000;Se le realiza el servis de los 140.000 km el 23/06/25. Se le realiza el servis de los 120.000 km el 06/01/25. se le realiza servis a los 100.000 km el 09/10/24. Se le realiza servis de cambio filtro y aceite a los 80.000 km. Se le realiza Serv. Por 60,000 Km. EN FECHA 26-6-2023. Se le hizo serv. Por 40,000 Km. 22-3-23. Se le hizo servicio por 20.000 Km. el dia 21-12-22
AF481PG;62;jul-25;68;Renault;Alaskan;101.994;103.616;105.581;;-33998;2022;3068;120.000; 
AF481PH;63;jul-25;69;Renault;Alaskan;163.450;164.125;164.659;;-54483;2022;3069;180.000;Se le hizo el servis de los 160.000 km el 03/06/25. Se le hizo el servis de los 140.000 km el 05/8/24. Se le hizo el servis de los 120.000 km el 05/8/24. se le hizo el servis de los 100.000 km el 08/2/24. Se le hizo el servicio de cambio de filtro y aceite a los 80.000 Km el dia 21-08-23. Se le hizo Serv. De 60,000 Km. En fecha 7-6-23. Se le hizo serv. 40,000 Km. DIA MIERCOLES 22-3-23...Se le reemplazo la bateria a los 38,985 Km. (16-3-23). Se le hizo service por 20.000Km. el dia 16-12-22
AF481OQ;;jul-23;;Renault;Stepway;90.000;;;;-30000;2022;3066;100.000;Se le hizo el servis de los 90.000 KM el 07/05/25. se le hizo el servis de los 80.000 KM el 3/12/24. Se le hizo el servis de los 70.000 el 21/8/24. Se le hizo el servis de los 60.000 el 15/05. Se le hizo el servis de los 50.000 el dia 24/01. se le hizo servis de los 40.000 km el dia 20/10/23. El dia 29/6/23, se le realizo servicio  a los 29.774 km. Se le hizo serv. 15-3-23, A los 19724 Km. Se le hizo servicio por los 10.000 Km.En fecha 05-12-22
AF571RX;64;sept-25;70;Renault;Alaskan;137.376;138.976;139.372;;-45792;2022;3070;140.000;Se le realizo el servis de los 120.000 km  el 23/12/24. Se le realizo servis de los 100.000 km. el 1/8/24. Se le realizo el servis de los 80.000 km el 17-11-23. Se le realizo servicio de cambio de filtro y aceite a los 60.000 km el 29/8/23. Se le realizó Serv. Por 40,000, el 15-5-23. Se le hizo servicio por 20,000 Km. En fecha 6-2-23 
AF571RW;65;sept-25;71;Renault;Alaskan;178.653;180.000;;;-59551;2022;3071;200.000;Se le realizo servis de los 160.000 km el 30/09/25. Se le realizo servis de los 160.000 km el 18/3/25. Se le realizo servis de los 140.000 km el 31/7/24. Se le realizo el servis a los 120.000 km el 19/2/24. Se le relaizo servi a los 100.000 km el 29/11/23. Se le hizo servis a los 80.000 km cambio de filtro y Aceite el 21/9/23 .Se le realizó serv. Por los 60.000 Km. El 01-6-23. Se le hizo serv. Por los 40.000 Km, el 16-3-23. Se le hizo servicio por los 20.000 Km.En fecha 04-01-2023
AF608ZB;66;oct-25;72;Renault;Sandero;;;;;0;2022;3072;10.000;VENDIDA
AF608ZC;67;oct-25;73;Renault;Sandero;25.355;;;;-8452;2022;3073;30.000;Se le hizo el servis de los 20.000 km el 26/8/24. se le hizo el servis a los 7.000 km el 12/10/23. hacer el servis de los  10.000 Km
AF608ZD; ;oct-25;74;Renault;Alaskan;137.083;137.229;;;-45694;2022;3074;140.000;Se le hizo el servis de los 120.000 km el 01/04/25. Se le hizo servis de los 100.000 km el 12/11/24. Se le hizo servis de los 80.000 km el 10/01/24. Se le hizo servicio de cambio de filtro y aceite a los 60,000 km el dia 30/8/23. Se le hizo serv. SERV. Por 40,000 km. En fecha 31-5-23. Se le hizo servicio  27-2-2023, por los 20,000
AF757AS;;ene-26;75;Renault;Alaskan;147.704;149.768;151.629;;-49235;2023;3075;160.000;Se le hizo el servis de los 140.000 km el 04/08/25. Se le hizo el servis de los 120.000 km el 01/05/25. Se le hizo el servis de los 100.000 km el 04/02/25. Se le hizo el servis de los 80.000 km el 1/11/24. Se le hizo el servis de los 60.000 km el 12/04/24. Se le hizo servis de los 40.000 km cambio de filtro y aceite el dia 29/9/23 . Se le hizo service  de 20.000 el 6-6-2023
AF757AU;;ene-26;76;Renault;Alaskan;187.631;188.428;189.513;;-62544;2023;3076;200.000;Se le hizo servis de los 180.000 km el 7/07/25. Se le hizo servis de los 160.000 km el 25/04/25. Se le hizo servis de los 140.000 km el 12/02/25. Se le hizo servis de los 120.000 km el 5/12/24. Se le hizo servis de los 100.000 km el 02/10/24. Se le hizo el servis de los 80.000 km el 6/3/24. Se le hizo servis de los 60.000 km el 27-10-23. Se le realizo el servicio de Cambio de Filtro y Aceite a los KM 41.000. Se le realizó Serv. De 20,000 Km. 25-4-23.
AF757AZ;;ene-26;77;Renault;Alaskan;128.200;129.800;131.897;;-42733;2023;3077;140.000;Se le hizo el servis a los 120.000 km el 12/06/25. Se le hizo el servis a los 100.000 km el 25/11/24. se le hizo el servis a los 80.000 km el 11/4/24. Se le hizo servis de los 60.000 km el dia 18/12/23. Se le hizo el servicio de cambio de filtro y aceite a los 40.000 el dia 4/9/23. Se le hizo Serv. Por 20.000 Km. En fecha 30-5-23
AF757AT;;feb-26;;Renault;Alaskan;80.000;;;;-26667;2023;3078;100.000;Se le hizo servi a los 80.000 km el 14/08/25. Se le hizo servi a los 60.000 km el 9/10/24. Se le hizo servi a los 40.000 km el 10/4/24  .Se le hizo Servi a los 20.000 Km cambio de filtro y aceite el 20/9/23
AF757AW;;feb-26;;Renault;Alaskan;;;;;0;2023;3079;80.000;Se le hizo el servis de los 60.000 km el 23/01/25 y cambio de pastillas. Se le hizo servi a los 40.000 km el 04/6/24. SE le hizo Servi a los 20.000 Km cambio de filtro y aceite el 27/9/23
AF857HF;;feb-26;78;Renault;Alaskan;185.350;186.043;187.093;;-61783;2023;3080;200.000;Se le realizo servis de los 180.000 km el 14/07/25. Se le realizo servis de los 160.000 km el 06/05/25. Se le realizo servis de los 140.000 km el 17/02/25. Se le realizo el servis de 120.000 km el 03/12/24. Se le realizo el servis de 100.000 km el 20/9/24. Se le hizo el servis de los 80.000 km el 4/3/24. Se le hizo el servis a los 60.000 km el 04/12/23. Se le hizo servicio de cambio de filtro y aceite a los 40.000 km el 11-9-23 .Se le hizo serv. por 20.000 Km. En fecha 22-6-23
AG012UT;;nov-26;79;Renault;Alaskan;55.444;55.444;55.444;55.444;0;2023;3080;60.000;Se le hizo servicio a los 40.000 km. El 07/03/25 Se le hizo servicio a los 20.000 km el 13/8/24
AG012UV;;nov-26;80;Renault;Alaskan;47.188;47.359;;;-15729;2023;3081;60.000;Se le hizo servicio a los 40.000 km. El 14/05/25. Se le hizo servicio a los 20.000 km el 10/4/24
