Patente;Nro Movil;Tipo de Comb;MOVIL;Modelo;Vencimiento Cedula;Días;Vencimiento Seguro;Aseguradora;VENC GAS;VTV;Telepase;TARJ YPF;Color;Ploteo;Baliza;Grabado; medidas de cubiertas;CLAVE RADIO;;;;;;;;;FORMULA
AF333BU;59;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;6/5/2025;-170;25/8/2026;HDI;;mar-25;99530024;;Gris;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF333BV;60;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;6/5/2025;-170;25/8/2026;HDI;;mar-25;99538737;;Gris;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF333BW;61;Nafta;Sandero;2022;6/5/2025;-170;25/8/2026;HDI;;mar-26;97050320;;Blanco;SI;SI;SI;185/65/15;;;;;;;;;;NADA
AF421HL;62;Nafta;Sandero;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;ene-25;99549902;;Blanco;NO;NO;SI;185/65/15;;;;;;;;;;ROJO
AF421HY;63;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;ene-25;99550801;;Gris Oscuro;SI calcos;SI;SI;255/70/16;;;;;;;;;;ROJO
AF452DA;64;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;feb-25;99550802;;Gris Oscuro;NO;NO;SI;255/70/16;;;;;;;;;;ROJO
AF481OQ;;Nafta;Renault Stepway;2022;18/7/2024;-462;25/8/2026;HDI;;nov-25;99558184;;Blanco Glaciar;NO;NO;SI;;;;;;;;;;;AMARILLO
AF481OR;65;Nafta;Sandero;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;jul-25;99557532;;Blanco Glaciar;NO;NO;SI;185/65/15;;;;;;;;;;ROJO
AF481OU;66;Nafta;Sandero;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;nov-26;99557519;;Blanco Glaciar;SI;SI;SI;185/65/15;0865-6;;;;;;;;;NADA
AF481PB;67;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;ago-25;99557055;;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF481PG;68;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;ago-25;99563443;;Gris Etoile;;SI;SI;255/70/16;;;;;;;;;;ROJO
AF481PH;69;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;ago-25;99563533;;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF571RX;70;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;4/9/2024;-414;25/8/2026;HDI;;sept-25;99565064;;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF571RW;71;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;4/9/2024;-414;25/8/2026;HDI;;sept-25;99565065;;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF608ZB;72;Nafta;Sandero;2022;;-45953; ; ;;sept-25;99576078;;Blanco Glaciar;calcos;SI;SI;185/65/15;;;;;;;;;;ROJO
AF608ZC;73;Nafta;Sandero;2022;6/9/2024;-412;25/8/2026;HDI;;sept-25;99574036;;Blanco Glaciar;calcos;SI;SI;185/65/15;;;;;;;;;;ROJO
AF608ZD;74;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;6/9/2024;-412;25/8/2026;HDI;;sept-25;99576086;;Gris Etoile;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF757AU;76;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;15/12/2024;-312;25/8/2026;HDI;;ene-26;99623819;;Gris Etoile;SI calcos;SI;SI;255/70/16;;;;;;;;;;NADA
AF757AS;75;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;15/12/2024;-312;25/8/2026;HDI;;ene-26;99602405;;Gris Etoile;SI;SI;SI;255/70/16;;;;;;;;;;NADA
AF757AW;;Diesel;Renault Alaskan Iconit 4 WD;2023;15/12/2024;-312;25/8/2026;HDI;;ene-26;99604307;;Blanco Glaciar;;;SI;255/60/18;;;;;;;;;;NADA
AF757AT;;Diesel;Renault Alaskan Intens 4 WD;2023;15/12/2024;-312;25/8/2026;HDI;;ene-26;99590739;jul-26;Blanco Glaciar;;;SI;255/70/16;;;;;;;;;;NADA
AF757AZ;77;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;15/12/2024;-312;25/8/2026;HDI;;ene-26;99602284;;Blanco Glaciar;;SI;SI;255/70/16;;;;;;;;;;NADA
AF857HF;78;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;22/4/2025;-184;25/8/2026;HDI;;feb-26;99626415;jul-26;Blanco Glaciar;SI calcos;SI;SI;255/70/16;;;;;;;;;;NADA
AG012UT;79;Diesel;Alaskan Emotion 2.3. dCi 190  4WD;2023;6/5/2025;-170;25/8/2026;HDI;;nov-26;99669419;jul-26;Blanco Glaciar;;;SI;255/70/16;;;;;;;;;;NADA
AG012UV;80;Diesel;Alaskan Emotion 2.3. dCi 190  4WD;2023;6/5/2025;-170;25/8/2026;HDI;;nov-26;99617111;jul-26;Blanco Glaciar;;;SI;255/70/16;;;;;;;;;;NADA
AG059DG;81;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;SIN VENCIMIENTO; ;25/8/2026;HDI;;nov-26;93303900;jul-26;Blanco Glaciar;SI calcos;;SI;255/70/16;;;;;;;;;;NADA
AG059DJ;82;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;SIN VENCIMIENTO; ;24/11/2025;ZURICH;;nov-26;93303901;jul-26;Blanco Glaciar;SI calcos;;SI;255/70/16;;;;;;;;;;NADA
AG059DH;83;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;SIN VENCIMIENTO; ;24/11/2025;ZURICH;;nov-26;93303902;jul-26;Blanco Glaciar;SI calcos;;SI;255/70/16;;;;;;;;;;NADA
AG126UB;84;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;18/7/2024;-462;25/8/2026;HDI;;jul-26;99686145;jul-26;Blanco Glaciar;SI calcos;;SI;255/70/16;;;;;;;;;;NADA
AG126UC;85;Diesel;Alaskan Confort 2.3. dCi 160  2WD;2023;18/7/2024;-462;; ;;jul-26;99686087;jul-26;Blanco Glaciar;SI calcos;;SI;255/70/16;;;;;;;;;;NADA
AG126UE;86;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;SIN VENCIMIENTO; ;25/8/2026;HDI;;jul-26;PENDIENTE;jul-26;Blanco Glaciar;SI ;;SI;255/70/16;;;;;;;;;;NADA
AG196ZP;87;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;31/8/2024;-418;25/8/2026;HDI;;ago-26;99708357;jul-26;Blanco Glaciar;SI ;;SI;255/70/16;;;;;;;;;;NADA
AG196ZQ;88;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;31/8/2024;-418;25/8/2026;HDI;;ago-26;99703551;jul-26;Gris Etoile;SI ;SI;SI;255/70/16;;;;;;;;;;NADA
AG196ZR;89;Diesel;Alaskan Confort 2.3. dCi 160  2WD;2023;31/8/2024;-418;25/8/2026;HDI;;ago-26;99703552;jul-26;Blanco Glaciar;SI ;;SI;255/70/16;;;;;;;;;;NADA
AG196ZS;90;Diesel;Alaskan Confort 2.3. dCi 160  2WD;2023;31/8/2024;-418;25/8/2026;HDI;;sept-26;99708848;jul-26;Blanco Glaciar;SI ;;SI;255/70/16;;;;;;;;;;NADA
AG278OX;91;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;10/10/2024;-378;25/8/2026;HDI;;oct-26;99741892;jul-26;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;
AG278OY;92;Diesel;Alaskan Confort 2.3. dCi 160  2WD;2023;10/10/2024;-378;25/8/2026;HDI;;oct-26;99741784;jul-26;Blanco Glaciar;Calcos;SI;SI;255/70/16;;;;;;;;;;
AG278OZ;93;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;10/10/2024;-378;25/8/2026;HDI;;oct-26;99741793;jul-26;Blanco Glaciar;Calcos;;SI;255/70/16;;;;;;;;;;
AG315HB;94;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;24/10/2024;-364;25/8/2026;HDI;;oct-26;99743563;jul-26;Blanco Glaciar;SI;;SI;255/70/16;;;;;;;;;;
AG315HD;95;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;24/10/2024;-364;25/8/2026;HDI;;oct-26;99743562;jul-26;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;
AG315HG;96;Diesel;Alaskan Confort 2.3. dCi 160  2WD;2023;24/10/2024;-364;25/8/2026;HDI;;oct-26;99743426;jul-26;Blanco Glaciar;Calcos;SI;SI;255/70/16;;;;;;;;;;NADA
AG366YT;97;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;22/11/2024;-335;25/8/2026;HDI;;nov-26;99744929;jul-26;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;
AG366YU;98;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;22/11/2024;-335;25/8/2026;HDI;;nov-26;99744823;jul-26;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;
AG445AI;99;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2024;5/2/2025;-260;25/8/2026;HDI;;feb-27;99788926;jul-26;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;
AG445AJ;100;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2024;5/2/2025;-260;25/8/2026;HDI;;feb-27;99774826;jul-26;Blanco Glaciar;;;SI;255/70/16;;;;;;;;;;
AG705QN;101;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2024;SIN VENCIMIENTO; ;25/8/2026;HDI;;jul-27;97041299;si;Gris Etoile;NO;;SI;255/70/16;;;;;;;;;;
AG705QM;102;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2024;SIN VENCIMIENTO; ;25/8/2026;HDI;;jul-27;60802123;si;Blanco Glaciar;NO;;SI;255/70/16;;;;;;;;;;
AG705QQ;103;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2024;SIN VENCIMIENTO; ;25/8/2026;HDI;;jul-27;99841314;si;Gris Etoile;NO;;SI;255/70/16;;;;;;;;;;
