PATENTE;MOVIL Nº;CHASIS Nº;FECHA;MOTIVO;QUIEN INTERVINO
AF305MA;55;8A1D23000NL154723;27/1/2025;Se le cambio ruleman y masa delantera lado izquierdo, Se le reemplazo la mordaza de freno izquierda y pastillas de frenos ;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;28/1/2025;Se le reemplazo la batería ya que la que tenía no servía;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;28/1/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo ;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;28/1/2025;Se le cambio la cruzeta del Cardan ;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;29/1/2025;Se le colocó 2 cubiertas nuevas delanteras ;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;29/1/2025;Se le reemplazo ruleman y masa delantera lado izquierdo ;JAVIER ACUÑA
NSA764;8;8A1CB2U01EL256303;31/1/2025;Se le reemplazo la bateria ;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;3/2/2025;Se le reemplazo los dos faros traseros ;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;3/2/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF086CU;46;8A1D2300XNL061969;3/2/2025;Se le reemplazo ruleman y masa delantera lado izquierdo;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;4/2/2025;Se le reemplazo las pastillas de frenos;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;4/2/2025;Se le cambio lámparas de alta a baja de ambos lados.;JAVIER ACUÑA
AG196ZS;90;8A1D23004RL705066;10/2/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 56872.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;10/2/2025;Se le cambio ruleman y masa delantera lado izquierdo y se le reemplazo las pastillas de frenos quedando operativo a los KM 100362.;JAVIER ACUÑA
AF086CU;46;8A1D2300XNL061969;10/2/2025;Se le cambio ruleman y masa delantera lado derecho y se reemplazo los amortiguadores delanteros quedando operativo a los KM 143369.;JAVIER ACUÑA
AG315HG;96;8A1D23007RL754391;10/2/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG196ZP;87;8A1D23009RL678592;10/2/2025;Se le agrego 1 litro y medio de aceite.;JAVIER ACUÑA
AG196ZQ;88;8A1D2300XRL705024;10/2/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;10/2/2025;Se le reemplazo la junta homocinética del semieje delantero lado derecho quedando operativo a los KM 148707.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;11/2/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 140956.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;11/2/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF333BT;58;8A15SRYE5PL235471;12/2/2025;Se le cambio lámparas H7 delantera de ambos lados y lámpara de stop lado derecho, Se le reemplazo la llanta de auxilio quedando operativo a los KM 77360.;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;12/2/2025;Se le reemplazo el semieje completo lado izquierdo y se le cambio las pastillas de frenos quedando operativo a los KM 116019.;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;13/2/2025;Se le cambio la Cruseta del Cardan quedando operativo a los KM 126831.;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;14/2/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 116128.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;14/2/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 99965.;JAVIER ACUÑA
AF047UR;43;8A1D2300XNL019690;15/2/2025;Se le reemplazo ruleman y masa delantera lado derecho, Se le acomodo los Guardaplas delanteros, Se le acomodo el paragolpe delantero y se le regulo el freno de manos quedando operativo a los KM 148419.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;15/2/2025;Se le reemplazo el barral válidas ya que le mismo dejó de funcionar y Se le cambio el corta corriente quedando operativo a los KM 101165.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;15/2/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;17/2/2025;Se le reemplazo ruleman y masa delantera lado izquierdo quedando operativo a los KM 127235.;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;17/2/2025;Se procede a cambiar La batería ya que la misma no servía más y se le agrega 1 litro y medio de aceite quedando operativo a los KM 186488.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;19/2/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 65798.;JAVIER ACUÑA
AF481OR;66;8A15SRYE5PL288906;19/2/2025;Se le reemplazo las pastillas de frenos quedando operativo a los KM 39425.;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;19/2/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 102414.;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;19/2/2025;Se le reparo el alternador y Se le realizó cambio de filtros y aceite quedando operativo a los KM 186517.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;21/2/2025;Se le cambio lámparas de alta y baja de ambos lados.;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;21/2/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;21/2/2025;Se le realizó cambio de ruleman y masa delantera ambos lados, Se le cambio la homocinética delantera lado izquierdo y Se le reemplazo los amortiguadores delanteros quedando operativo a los KM 148535;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;21/2/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 68461.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;21/2/2025;Se le cambio lámpara de alta y baja lado derecho y lámpara posición y stop lado izquierdo.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;21/2/2025;Se le cambio lámpara de alta a baja lado izquierdo.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;24/2/2025;Se le realizó cambio de ruleman y masa delantera lado izquierdo, Se le reemplazo la mordaza de freno lado izquierdo y se le cambio las pastillas de frenos quedando operativo a los KM 158032.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;24/2/2025;Se le reemplazo la DVR y Se le cambio lámpara de alta y baja lado derecho quedando operativo.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;24/2/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;25/2/2025;Se le reemplazo el GPS quedando operativo.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;25/2/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 73231.;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;27/2/2025;Se le reemplazo los amortiguadores delanteros y se le acomodo el paragolpe delantero quedando operativo a los KM 117356.;JAVIER ACUÑA
AE870CQ;35;93Y9SR5A3MJ771069;27/2/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 76768.;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;27/2/2025;Se le retificaron las campanas y cintas de los frenos traseros y se le agrego 2 litros de aceite quedando operativo a los KM 95551.;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;27/2/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 150654;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;27/2/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 148802;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;28/2/2025;Se le reemplazo las escobillas limpiaparabrisas;JAVIER ACUÑA
MVE291;5;8A1CB2U01DL736928;28/2/2025;Se le agrego 1 litro y medio de aceite.;JAVIER ACUÑA
AE667QX;31;8A1D23005ML803211;28/2/2025;Se le instalo barral válizas, Se le reemplazo la batería ya que la que tenía no servía más y se le Agrego 2 litros de aceite quedando operativo a los KM 97272;JAVIER ACUÑA
AF270OW;53;8A15SRYE5NL153760;1/3/2025;Se le reemplazo la batería , Se le colocó corta corriente y Se le cambio lámpara H7 delantera lado izquierdo quedando operativo a los KM 46511.;JAVIER ACUÑA
AB027KF;18;93Y9SR5A6HJ522171;3/3/2025;Se le realizó cambio de distribución con bomba de agua y se le cambio filtros y aceite quedando operativo a los KM 179815.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;3/3/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;3/3/2025;Se le cambio los espárragos y tornillos rueda delantera derecha ya que se le habían cortado quedando operativo a los KM 137959.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;3/3/2025;Se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;3/3/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 140946.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;3/3/2025;Se le cambio lámpara de posición y stop lado izquierdo.;JAVIER ACUÑA
AG196ZP;87;8A1D23009RL678592;3/3/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;3/3/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;3/3/2025;Se le cambio lámparas de alta y baja de ambos lados;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;4/3/2025;Se le reparo el alternador y se le cambio lámpara de alta y baja lado izquierdo quedando operativo a los KM 149237;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;4/3/2025;Se le cambio ruleman y masa delantera lado derecho quedando operativo a los KM 158627.;JAVIER ACUÑA
AF608ZD;74;8A1D23009PL291540;5/3/2025;Se le realizó cambio de cruseta del Cardan quedando operativo a los KM 112363.;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;5/3/2025;Se le reparo el alternador quedando operativo a los KM 166547.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;5/3/2025;Se le agrego 3 litros de aceite quedando operativo a los KM 71548.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;5/3/2025;Se le cambio las pastillas de frenos quedando operativo a los KM 138817.;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;5/3/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;8/3/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 107330.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;8/3/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 70945.;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;8/3/2025;Se le colocó 2 cubiertas nuevas delanteras a los KM 149761 dichos móviles quedaron operativo con sus cuatro cubiertas nuevas y respectivos auxilio;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;8/3/2025;Se le realizó reparación perdida de combustible , Se le cambio la Cruseta del Cardan y Se le reemplazaron los amortiguadores delanteros quedando operativo a los KM 158757.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;8/3/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 150854;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;8/3/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;10/3/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 72880.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;10/3/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 71443;JAVIER ACUÑA
AG196ZP;87;8A1D23009RL678592;12/3/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 87431.;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;12/3/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 108473.;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;12/3/2025;Se le reparo los cilindros de frenos y se le retificaron las cintas y campanas de frenos quedaron operativo a los KM 129371.;JAVIER ACUÑA
AE870CP;34;93Y9SR5A3MJ801143;12/3/2025;Se le realizó cambio de distribución completa con bomba de agua, Se le reemplazo los rodillos y correa Poly V, Se le realizó cambio de filtros y aceite quedando operativo a los KM 89528.;JAVIER ACUÑA
AG278OY;92;8A1D23009RL754392;14/3/2025;Se le cambio la batería ya que la que tenía no servía más quedando operativo a los KM 85506.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;14/3/2025;Se le realizó retificacion de las campanas y cintas de los frenos traseros quedando operativo a los KM 139821.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;14/3/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 77903.;JAVIER ACUÑA
AF047UR;43;8A1D2300XNL019690;14/3/2025;Se le reemplazo los amortiguadores delanteros, Se le cambio los discos y pastillas de frenos quedando operativo a los KM 151056.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;14/3/2025;Se le cambio lámpara de alta y baja lado derecho;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;18/3/2025;Se le colocó precap y extremo de dirección quedando operativo a los KM 151088.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;18/3/2025;Se le cambio la vieleta izquierda de barra estabilizadora delantera quedando operativo a los KM 146095.;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;18/3/2025;Se procede a colocar el Guardaplas delantero;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;18/3/2025;Se le cambio lámpara de giro delantero lado izquierdo y lámpara de posición delantera lado izquierdo quedando ambos móviles operativo.;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;19/3/2025;Se le reemplazo las pastillas de frenos quedando operativo a los KM 131524.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;19/3/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;19/3/2025;Se le cambio lámpara de alta y baja lado izquierdo y Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 109928.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;19/3/2025;Se le reemplazo las pastillas de frenos quedando operativo a los KM 160726.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;21/3/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 142054;JAVIER ACUÑA
AG196ZS;90;8A1D23004RL705066;21/3/2025;Se le colocó las 4 cubiertas nuevas quedando operativo a los KM 61056.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;21/3/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 112802.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;21/3/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 149319.;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;21/3/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 167703.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;21/3/2025;Se le cambio lámpara de alta y baja lado derecho y se le entrego un criquet botella ya que el que tenía no servía más quedando operativo a los KM 147220.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;21/3/2025;Se le reemplazo la rueda de auxilio quedando operativo a los KM 151980.;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;21/3/2025;Se le cambio lámpara de posición y stop lado derecho y se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 112762.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;24/3/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 117869.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;24/3/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 74576.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;25/3/2025;Se le reemplazo los amortiguadores delanteros, Se le cambio dos espárragos de rueda delantera lado izquierdo, Se le reemplazo el corta corriente y se le cambio el barral balisas ya no funcionaba quedando operativo a los KM 148105.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;25/3/2025;Se le reemplazo ruleman y masa delantera lado izquierdo quedando operativo a los KM 142437.;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;26/3/2025;Se le cambio rulemanes y masa delantera de ambos lados, Se le reemplazo las pastillas de frenos, Se le cambio lámparas de posición y stop de ambos lados y Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 118506.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;27/3/2025;Se le reemplazo ruleman y masa delantera lado izquierdo quedando operativo a los KM 152105.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;28/3/2025;Se le realizó retificacion de campanas y cintas de los frenos traseros quedando operativo a los KM 160726.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;28/3/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 112605.;JAVIER ACUÑA
AF047UX;45;8A1D23009NL017669;28/3/2025;Se le cambio lámpara de alta y baja lado derecho y se reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 106405.;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;28/3/2025;Se le cambio lámpara trasera de posición y stop lado derecho.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;29/3/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 126899.;JAVIER ACUÑA
AB027KF;18;93Y9SR5A6HJ522171;29/3/2025;Se le reparo el alternador quedando operativo a los KM 181438.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;29/3/2025;Se le reemplazo la manija del portón trasero ya que la misma se quebró quedando operativo a los KM 112711.;JAVIER ACUÑA
AG126UB;84;8A1D23003RL643370;29/3/2025;Se le colocó 2 cubiertas nuevas delanteras, Se le reemplazo la batería y Se le cambio lámpara de alta y baja lado izquierdo quedando operativo a los KM 67989.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;1/4/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 154126;JAVIER ACUÑA
AG445AI;99;8A1D23000RL746035;1/4/2025;Se le reemplazo las pastillas de frenos y se le agrego líquido hidráulico quedando operativo a los KM 81328.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;1/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;1/4/2025;Se le realizó cambio de parrillas de suspensión completa, bujes y vieletas de barra estabilizadora , Se le colocó 2 cubiertas nuevas delanteras, Se le realizó cambio de filtros y aceite, Se enderezó chapon cubre carte quedando operativo a los KM 192374;JAVIER ACUÑA
AF333BT;58;8A15SRYE5PL235471;1/4/2025;Se le cambio de vidrio puerta delantera derecha;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;1/4/2025;Se le reemplazo ruleman y masa delantera lado izquierdo y se le cambio las pastillas de frenos quedando operativo a los KM 152860.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;1/4/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;2/4/2025;Se le reemplazo ruleman y masa delantera lado derecho y se le cambio lámpara de alta y baja lado izquierdo quedando operativo a los KM 144816.;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;3/4/2025;Se le reemplazo ruleman y masa delantera, caliper de frenos lado izquierdo y se le cambio las pastillas de frenos quedando operativo a los KM 132988.;JAVIER ACUÑA
AF608ZD;74;8A1D23009PL291540;3/4/2025;Se le reemplazo el barral balisas quedando operativo a los KM 120724.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;4/4/2025;Se le instalo el alternador ya reparado, Se le coloco correa Poly V y Se le reemplazo la batería quedando operativo a los KM 153623.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;5/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG278OY;92;8A1D23009RL754392;5/4/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 88243.;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;5/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG196ZQ;88;8A1D2300XRL705024;5/4/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 85970.;JAVIER ACUÑA
AG315HG;96;8A1D23007RL754391;7/4/2025;Se le reemplazo la batería ya que la que tenía nos servía más quedando operativo a los KM 68697.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;7/4/2025;Se le cambio lámpara de alta y baja lado izquierdo y Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 153769.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;7/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;7/4/2025;ya reparado le reemplazaron el bulbo de aceite quedando operativo.;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;9/4/2025;Se le reemplazo las pastillas de frenos quedando operativo a los KM 80635.;JAVIER ACUÑA
AG366YT ;97;8A1D23000RL715206;9/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG445AI;99;8A1D23000RL746035;9/4/2025;Se le cambio lámpara de giro delantero lado izquierdo.;JAVIER ACUÑA
AG126UB;84;8A1D23003RL643370;9/4/2025;se le reemplazo la rueda de auxilio quedando operativo.;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;9/4/2025;Se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AG012UT;79;8A1D23005PL613526;9/4/2025;Se le realizó cambio de pastillas de frenos y Se le cambio las escobillas limpiaparabrisas quedando operativo a los KM 43055.;JAVIER ACUÑA
AG012UV;80;8A1D23000PL613529;9/4/2025;Se le reemplazo las escobillas limpiaparabrisas quedando operativo a los KM 38883.;JAVIER ACUÑA
AF047UQ;42;8A1D23007NL017668;10/4/2025;Se le reemplazo ruleman y masa delantera lado derecho quedando operativo a los KM 165259.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;10/4/2025;Se le cambio lámpara de alta y baja lado derecho y Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 85393.;JAVIER ACUÑA
AF047UIW;44;8A1D23008NL021583;10/4/2025;Se le reparo el alternador quedando operativo a los KM 154239 el mismo ya se encuentra en dicho Servicio.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;10/4/2025;Se le reemplazo el criquet Se le dejó un criquet botella y se le retiró el criquet tijera que quedó trabado a los KM 119851.;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;10/4/2025;Se le agrego 2 litros de aceite quedando operativo.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;12/4/2025;se le cambio lámpara de alta y baja lado izquierdo, Se le agrego líquido hidráulico y líquido de freno.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;12/4/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;12/4/2025;Se le realizó cambio de ruleman y masa delantera de ambos lados, Se le reemplazo los amortiguadores delanteros y Se le cambio mordaza de frenos lados izquierdo quedando operativo a los KM 154485.;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;12/4/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;12/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;15/4/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 78801.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;15/4/2025;Se le reemplazo las pastillas de frenos quedando operativo a los KM 121210.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;15/4/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF047UX;45;8A1D23009NL017669;15/4/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 108736.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;16/4/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
