PATENTE;AUTOMOVIL;AÑO;SUMA ASEGURADA;COSTO SEMESTRAL;COSTO MENSUAL;MONTO FRANQ.
AE937QW;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;;;$ 304.957,90;$ 750.000,00
AE937QV;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;;;$ 304.957,90;$ 750.000,00
AF086CU;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;;;$ 304.957,90;$ 750.000,00
AF174KK;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 316.857,55;$ 750.000,00
AF215FN;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 316.857,55;$ 750.000,00
AF215FO;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 354.143,15;$ 750.000,00
AF608ZC;RENAULT SANDERO PH2 LIFE  1.6;2022;;;$ 238.926,46;$ 420.000,00
AF608ZD;RENAULT ALASKAN  CONFORT 4X4 MT;2022;;;$ 354.143,15;$ 750.000,00
AF047UQ;RENAULT ALASKAN  CONFORT 4X4 MT;2021;;;$ 304.957,90;$ 750.000,00
AF047UR;RENAULT ALASKAN  CONFORT 4X4 MT;2021;;;$ 340.820,20;$ 750.000,00
AF047UW;RENAULT ALASKAN  CONFORT 4X4 MT;2021;;;$ 304.957,90;$ 750.000,00
AF047UX;RENAULT ALASKAN  CONFORT 4X4 MT;2021;;;$ 340.820,20;$ 750.000,00
AF757AW;RENAULT ALASKAN Iconic 4X4 MT;2023;;;$ 409.604,89;$ 750.000,00
AF757AT;RENAULT ALASKAN Intens 4X4 MT;2023;;;$ 379.757,91;$ 750.000,00
AF757AZ;RENAULT ALASKAN CONFORT 4X4 MT;2023;;;$ 308.924,45;$ 750.000,00
AF757AS;RENAULT ALASKAN CONFORT 4X4 MT;2023;;;$ 345.276,74;$ 750.000,00
AF757AU;RENAULT ALASKAN CONFORT 4X4 MT;2023;;;$ 308.924,45;$ 750.000,00
AF857HF;RENAULT ALASKAN CONFORT 4X4 MT;2023;;;$ 297.981,43;$ 750.000,00
AG012UT;RENAULT ALASKAN EMOTION 2.3 DCI 190 4WD;2023;;;$ 308.924,45;$ 750.000,00
AG012UV;RENAULT ALASKAN EMOTION 2.3 DCI 190 4WD;2023;;;$ 308.924,45;$ 750.000,00
AG196ZR;RENAULT ALASKAN CONFORT 2.3 DCI 160 2WD;2023;;;$ 333.027,09;$ 750.000,00
AG196ZP;RENAULT ALASKAN CONFORT 2.3 DCI 160 4WD;2023;;;$ 345.276,74;$ 750.000,00
AG196ZS;RENAULT ALASKAN CONFORT 2.3 DCI 160 2WD;2023;;;$ 297.981,43;$ 750.000,00
AG196ZQ;RENAULT ALASKAN CONFORT 2.3 DCI 160 4WD;2023;;;$ 345.276,74;$ 750.000,00
AG278OZ;RENAULT ALASKAN CONFORT 2.3 DCI 160 4WD;2023;;;$ 333.027,09;$ 750.000,00
AG278OY;RENAULT ALASKAN CONFORT 2.3 DCI 160 2WD;2023;;;$ 308.924,45;$ 750.000,00
AG278OX;RENAULT ALASKAN CONFORT 2.3 DCI 160 4WD;2023;;;$ 297.981,43;$ 750.000,00
AG315HB;RENAULT ALASKAN CONFORT 2.3 DCI 160 4WD;2023;;;$ 345.276,74;$ 750.000,00
AG315HD;RENAULT ALASKAN CONFORT 2.3 DCI 160 4WD;2023;;;$ 241.003,07;$ 750.000,00
AG315HG;RENAULT ALASKAN CONFORT 2.3 DCI 160 2WD;2023;;;$ 308.924,45;$ 750.000,00
AG366YT;ALASKAN CONFORT 2.3 DCI 160 4WD;2023;;;$ 345.276,74;$ 750.000,00
AG366YU;ALASKAN CONFORT 2.3 DCI 160 4WD;2023;;;$ 345.276,74;$ 750.000,00
AG445AI;ALASKAN CONFORT 2.3 DCI 160 4WD;2024;;;$ 233.303,29;
AG445AJ;ALASKAN CONFORT 2.3 DCI 160 4WD;2024;;;$ 246.859,57;
AG705QN;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;;;$ 220.866,98;
AG705QM;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;;;$ 239.019,79;
AG705QQ;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;;;$ 246.859,57;
AF571RX;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 228.613,43;
AF571RW;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 246.532,91;
AF481OR;RENAULT SANDERO II 1.6 16V LIFE L/19;2022;;;$ 195.924,37;$ 650.000,00
AF481PH;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 240.209,76;
AF481OQ;RENAULT SANDERO STEPWAY PH2 1.6 INTENS L19;2022;;;$ 185.308,00;$ 650.000,00
AG059DG;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;;;$ 213.587,19;
AF481PB;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 228.613,43;
AF481PG;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 228.613,43;
AF481OU;RENAULT SANDERO II 1.6 16V LIFE L/19;2022;;;$ 246.672,91;$ 420.000,00
AG126UE;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;;;$ 382.364,48;$ 750.000,00
AG126UB;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;;;$ 382.364,48;$ 750.000,00
AE937QN;FIAT CRONOs 1,3 ATTR ACTIVE;2021;;;$ 208.454,01;$ 420.000,00
AE937QP;FIAT CRONOs 1,3 ATTR ACTIVE;2021;;;$ 232.976,60;$ 420.000,00
NHK226;RENAULT CLIO MIO 1.2 3P AUTHEN PK;2013;;$ 934.753,12;$ 155.792,19;$ 420.000,00
MVE291;RENAULT CLIO MIO 1.2 3P AUTHEN PK;2014;;$ 972.832,02;$ 162.138,67;$ 420.000,00
NOU018;RENAULT CLIO MIO 1.2 3P AUTHEN PK;2014;;$ 972.832,02;$ 162.138,67;$ 420.000,00
NSA764;RENAULT CLIO MIO 1.2 3P AUTHEN PK;2014;;;$ 181.224,79;$ 420.000,00
MNF932;RENAULT CLIO MIO 1.2 3P AUTHEN PK;2013;;$ 935.873,09;$ 155.978,85;$ 420.000,00
AB934RE;RENAULT KANGOO CONF. 1.6;2017;;;$ 257.195,94;$ 420.000,00
NXI188;RENAULT CLIO MIO 1.2 3P AUTHEN PK;2014;;$ 902.134,06;$ 150.355,68;$ 420.000,00
NXI181;RENAULT CLIO MIO 1.2 3P AUTHEN PK;2014;;$ 902.134,06;$ 150.355,68;$ 420.000,00
NXI182;RENAULT CLIO MIO 1.2 3P AUTHEN PK;2014;;$ 902.834,04;$ 150.472,34;$ 420.000,00
AC515JI;RENAULT KANGOO PH3 CONF. 1.6;2018;;;$ 217.507,08;$ 420.000,00
AC515JH;RENAULT KANGOO PH3 CONF. 1.6;2018;;;$ 217.507,08;$ 420.000,00
AD503HV;RENAULT KANGOO EX L/18 1.6 CONFOR;2019;;;$ 291.004,97;$ 420.000,00
