PATENTES;Nº;MODELO;AÑO;UBICACIÓN Y SERVICIO ;Reemplazo Neumaticos delanteros;Reemplazo Nuematicos Traseros;Reemplazo Baterias
AF757AS;35;RENAULT ALASKAN CONFORT 4X4 MT;2023;MOVIL 1 ACUDE LA LATA;08/03/25      (02);19/05/25    (02);19/08/24   -  19/03/25
AF757AU;36;RENAULT ALASKAN CONFORT 4X4 MT;2023;MOVIL 13 ACUDE  CABA;26/11/24      (02);01/04/25    (02);02/01/24   -  28/09/24   -   11/02/25  - 12/06/25
AF757AZ;37;RENAULT ALASKAN CONFORT 4X4 MT;2023;MOVIL 21 SITIO 74  BERAZATEGUI;28/03/25      (02)  05/09/25  (02);26/06/25     (02);23/02/24  -   23/04/25
AF857HF;38;RENAULT ALASKAN CONFORT 4X4 MT;2023;LAVALLOL;;21/03/25     (02);27/11/24   -  07/04/25
AG059DG;39;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 11 ACUDE BERAZATEGUI;04/03/24     (02);19/07/25     (02);15/01/24   -   10/09/24   -   21/03/25
AG059DH;40;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 07 ACUDE GUERNICA;17/12/24     (02);14/02/25     (02);17/02/24   -   17/12/24
AG059DJ;41;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;LAVALLOL;14/01/25     (02);08/03/24     (02);03/04/24   -   04/11/24  - 11/11/24  -  03/03/25
AG126UB;42;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;ACUDE 18  GONZALEZ CATAN;29/03/25     (02);05/01/24     (02)  01/05/25  (02);29/03/205  -  16/08/25
AG126UE;43;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;LA PROVIDENCIA;20/01/25     (02);16/05/24     (02);19/5/2025
AG196ZP;44;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 12 ACUDE QUILMES  ;12/03/25     (02);18/07/25     (02);23/12/24  -  25/09/25
AG196ZQ;45;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 14 ACUDE MORENO;14/12/24     (02);18/03/24     (02)  24/05/25   (02);5/4/2025
AG196ZR;46;RENAULT ALASKAN CONFORT 2.3 dCi 160 2 WD;2023;GASTON CERNADAS;17/09/25   (02);17/09/25   (02);12/12/2024
AG278OX;47;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 8 ACUDE FLORENCIO VARELA;;21/02/25     (02);21/4/2025
AG278OZ;48;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 10 ACUDE LA CAPILLA;17/07/24     (02)  16/10/25   (02);25/02/25     (02);19/10/24   -  14/03/25
AG315HB;49;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 6 ACUDE LUIS GUILLON;29/01/25     (02);12/05/25     (02);04/11/24  -   10/03/25
AG315HD;50;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;LAVALLOL;31/12/24     (02)  15/10/25  (02);14/01/25      (02)  15/10/25  (02);19/02/25  -   12/05/25
AG315HG;51;RENAULT ALASKAN CONFORT 2.3 dCi 160 2 WD;2023;BASE NUÑEZ;11/04/25     (02);08/07/25      (02);18/06/24  -   07/04/25 -  26/09/25
AG366YT;52;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;DESTRUCION;19/02/25     (02);12/03/25      (02);23/11/24  -   21/03/25
AG366YU;53;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 13 ACUDE CABA;24/03/25     (02);12/05/25      (02);07/11/24  -   09/06/25
AG445AI;54;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;MOVIL 16 DE SAN MIGUEL;12/05/25     (02);12/05/25      (02);21/11/2024
AG445AJ;55;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;ACUDE 19 VIRREY DEL PINO;16/06/25     (02);16/06/25      (02);16/10/2025
AG705QN;56;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;FISCALIZADOR BENJAMIN CABANA;;;
AG705QM;57;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;MOVIL 17 ACUDE PILAR;;;
AF333BW;58;RENAULT SANDERO II LIFE PLUS 1.6;2022;SUPERVISORES;19/11/24    (02);;
AF757AT;59;RENAULT ALASKAN Iconic 4X4 MT;2023;EXEQUIEL CERNADAS;02/25          (04);;
AF757AW;60;RENAULT ALASKAN Iconic 4X4 AT;2023;GASTON CERNADAS;;;
AF481OQ;61;RENAULT SANDERO STEPWAY PH2 1.6 INTENS L19;2022;EXEQUIEL CERNADAS;;;
AG705QQ;62;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;ACUDE 02 DE CABA;;;
AF481OR;63;RENAULT SANDERO II 1.6 16V LIFE L/19;2022;MIGUEL CERNADAS;;;
AE580VI;64;RENAULT KWID 1.0 ZEN;2021;EXEQUIEL CERNADAS;03/25          (04);;
AB027KF;65;RENAULT DUSTER OROCH DY NAMIQUE 2;2017;HUGO LUMINOSO;;;23/1/2024
AG278OY;66;RENAULT ALASKAN CONFORT 2.3 dCi 160 2 WD;2023;SUPERVISORES;05/04/25     (02);18/09/25    (02);14/3/2025
AG012UT;67;RENAULT ALASKAN EMOTION 2.3 DCI 190 4WD;2023;DESTRUCION;;;
AG012UV;68;RENAULT ALASKAN EMOTION 2.3 DCI 190 4WD;2023;FISCALIZADOR ALMADA DANIEL  ;;;
AF608ZC;69;RENAULT SANDERO PH2 LIFE  1.6;2022;BASE NUÑEZ;;;8/4/2025
AF421HL;70;RENAULT SANDERO II LIFE PLUS 1.6;2022;FISCALIZADOR PAULI MARCOS ;03/06/25    (02)    ;03/06/25    (02);
AF481PG;71;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;ACUDE 15 DE MORON;20/02/24    (02);;
AF481OU;72;RENAULT SANDERO II 1.6 16V LIFE L/19;2022;SUPERVISORES  JUAN SILVA;14/11/24    (02);;10/06/24   -   14/01/25
AF237KR;73;RENAULT SANDERO II LIFE PLUS 1.6;2022;FISCALIZADOR CABANA ARIEL AURELIO ;;;
AF270OW;74;RENAULT SANDERO II LIFE PLUS 1.6;2022;SUPERVISOR  FRANKLIN VELASQUEZ;;;1/3/2025
AF333BT;75;RENAULT SANDERO II LIFE PLUS 1.6;2022;SUPERVISORES   ;09/04/25    (02);;12/12/2024
AG196ZS;76;RENAULT ALASKAN CONFORT 2.3 dCi 160 2 WD;2023;BASE NUÑEZ;21/03/25    (02);21/03/25    (02);10/02/25 - 09/09/25
