PATENTE;MOVIL Nº;CHASIS Nº;FECHA;MOTIVO;QUIEN INTERVINO
AF333BS;57;8A1D23009NL192519;23/2/2024;Se le reemplazo el criquet tijera ya que el que tenían no servía más.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;23/2/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;23/2/2024;Se le remplazo la batería a los KM 74353 . ;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;23/2/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;23/2/2024;Se le cambio lámparas de posición delantera de ambos lados y lámparas de posición trasera lado derecho.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;23/2/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG315HG;96;8A1D23007RL754391;23/2/2024;Se le agrego 2 litros de aceite.;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;27/2/2024;Se le colocó 2 cubiertas nuevas delantera;JAVIER ACUÑA
AE626OT;27;8A1D23001ML770949;29/2/2024;Se le reemplazo el criquet botella;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;29/2/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG278OY;92;8A1D23009RL754392;29/2/2024;Se le realizó cambio de pastillas de frenos a los KM 25243.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;29/2/2024;Se le cambio lámparas de posición delantera de ambos lados , y lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;1/3/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;1/3/2024;Se le cambio pastillas de frenos a los KM 20970;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;4/3/2024;Se le cambio las pastillas de frenos y se le agrego 2 litros de aceite quedando ;JAVIER ACUÑA
AE937QV;39;8A1D23007NL017735;4/3/2024;Se le cambio las escobillas limpiaparabrisas;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;4/3/2024;Se le colocó 2 cubiertas nuevas delantera;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;7/3/2024; Se le cambio lámpara de posición delantera de ambos lados y lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;8/3/2024;Se le cambio lámpara de posición delantera de ambos lados, lámpara de alta y baja lado izquierdo y lámpara de posición trasera lado derecho.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;8/3/2024;Se le colocó 2 cubiertas nuevas traseras;JAVIER ACUÑA
AG445AI;99;8A1D23000RL746035;8/3/2024;Se le instalo barral valisas, camaras , DVR y GPS . quedando operativo;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;8/3/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;8/3/2024;Se le reemplazo las escobillas limpiaparabrisas.;JAVIER ACUÑA
AE626OT;27;8A1D23001ML770949;11/3/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;11/3/2024;Se le cambio las pastillas de frenos;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;11/3/2024;Se le instalo barral valisas, camaras y DVR.;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;12/3/2024;Se le cambio la batería a los KM 92302;JAVIER ACUÑA
AG196ZP;87;8A1D23009RL678592;18/3/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;18/3/2024;Se le cambio lámpara de posición y freno trasera lado izquierdo;JAVIER ACUÑA
AE870CP;34;93Y9SR5A3MJ801143;18/3/2024;Se le cambio el amortiguador del levanta capot quedando operativo.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;18/3/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;18/3/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG196ZQ;88;8A1D2300XRL705024;18/3/2024;Se le reparo barral valisas, se le cambio lámparas de posición delantera de ambos lados, Se le cambio lámpara de alta y baja lado derecho, Se le reemplazo el criquet ya que el que tenía no servía más y se le colocó 2 cubiertas nuevas delantera;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;20/3/2024;Se le realizó cambio de masa y ruleman de rueda delantera lado derecho y se le cambio flexible de frenos delantero lado izquierdo;JAVIER ACUÑA
AE667QV;30;8A1D23005ML771442;20/3/2024;Se le colocó 2 cubiertas de tacos delantera;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;20/3/2024;Se le reemplazo la batería ya que la mismas no servía más;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;20/3/2024;Se le verifico las cámaras y DVR quedando operativas;JAVIER ACUÑA
AG278OY;92;8A1D23009RL754392;23/3/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AE667QV;30;8A1D23005ML771442;23/3/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;23/3/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;23/3/2024;se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;23/3/2024;Se le cambio lámparas de alta y baja de ambos lados.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;27/3/2024;Se le realizó retificacion de campanas y cintas de frenos traseros y se le cambio la bomba de frenos;JAVIER ACUÑA
AC515JI;22;8A1FC1315JL121998;27/3/2024;Se le cambio los rodillos de la correa poly-V;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;27/3/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF608ZD;74;8A1D23009PL291540;30/3/2024;Se le reemplazo la DVR y GPS quedándo operativo y Se le colocó 2 cubiertas nuevas delantera y lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;2/4/2024;Se le realizó cambio de los amortiguadores delanteros y Se le remplazo ruleman y masa delantera lado izquierdo;JAVIER ACUÑA
AF047UR;43;8A1D2300XNL019690;2/4/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;3/4/2024;Se le cambio la batería;JAVIER ACUÑA
AF047UR;43;8A1D2300XNL019690;8/4/2024;Se le cambio la batería ya que la que tenía no servía más;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;9/4/2024;Se le cambio los amortiguadores delanteros;JAVIER ACUÑA
MNF900;3;8A1CB2U01DL668994;10/4/2024;Se le cambio las pastillas de frenos , Se le reemplazo la rampa inyectora , Se le cambio la batería;JAVIER ACUÑA
AF047UQ;42;8A1D23007NL017668;10/4/2024;Se le cambio las pastillas de frenos;JAVIER ACUÑA
AF481OU;65;8A15SRYE5PL288906;11/4/2024; se le agrego 1 litro de aceite al móvi;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;11/4/2024;Se le cambio lámparas H7 delantera ambos lados y lámparas de patente trasera;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;12/4/2024;Se le reemplazo ruleman y masa de rueda delantera lado derecho;JAVIER ACUÑA
AE937QW;40;8A1D23001NL017603;13/4/2024;procedo a verificar cámaras y DVR Se le reemplazo la memoria quedando operativa.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;13/4/2024;Se le realizó cambio de masa y ruleman delantero , Se le reemplazo la mordaza de frenos y pastillas de frenos lado izquierdo;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;13/4/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;23/4/2024;Se le reemplazo la batería ya que la que tenían no servía más;JAVIER ACUÑA
AF047UQ;42;8A1D23007NL017668;23/4/2024;Se le reemplazo la batería ya que la que tenían no servía más;JAVIER ACUÑA
AF270OX;54;8A15SRYE5NL153755;23/4/2024;Se le cambio lámpara H7 lado derecho y se le cambio la batería quedando operativo;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;29/4/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AC515JH;21;8A1FC1315JL121988;1/5/2024;Se le cambio tubo caño bomba de agua;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;4/5/2024;Se le colocó 2 cubiertas nuevas trasera quedando operativo;JAVIER ACUÑA
NXI182;11;8A1CB2U01EL282110;16/5/2024;Se le colocó una batería nueva a los KM 216192;JAVIER ACUÑA
AF608ZD;74;8A1D23009PL291540;16/5/2024;Se le colocó una batería nueva a los KM 88701;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;16/5/2024;Se le colocó 2 cubiertas nuevas trasera a los KM 51785.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;16/5/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
MNF900;3;8A1CB2U01DL668994;16/5/2024;Se le realizó limpieza completa y se le quitó todo el ploteo dicho móvil ya se encuentra en base Nuñez ;JAVIER ACUÑA
AF047UR;43;8A1D2300XNL019690;16/5/2024;Se le reemplazo la rueda delantera izquierda, y se le cambio lámpara de alta y baja lado izquierdo quedando operativo;JAVIER ACUÑA
AE937QV;39;8A1D23007NL017735;16/5/2024;Se le realizó cambio de masa y ruleman, la mordaza de frenos lado derecho, Se le cambio las pastillas de frenos, Se le reemplazo el paragolpe trasero y faro trasero lado izquierdo, Se le quito todo el ploteo , cámaras ,  DVR , barral valisas y se le realizó limpieza total.;JAVIER ACUÑA
AE667QV;30;8A1D23005ML771442;16/5/2024;Se le reparo los paragolpe delantero y trasero , Se le quitó todo el ploteo, camara, DVR , barral valisas y se le realizó limpieza total;JAVIER ACUÑA
AF481OU;65;8A15SRYE5PL288906;28/5/2024;Se le instalo camaras y DVR quedando operativo.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;28/5/2024;Se le cambio las pastillas de frenos a los KM 31596;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;1/6/2024;Se le reemplazo el faro trasero lado izquierdo;JAVIER ACUÑA
AC515JH;21;8A1FC1315JL121988;3/6/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;3/6/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;4/6/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF333BW;61;8A15SRYE5PL235644;10/6/2024;Se le realizó cambio de pastillas de frenos;JAVIER ACUÑA
AF481OU;65;8A15SRYE5PL288906;10/6/2024;Se le reemplazo la batería a los KM 22264 ya que la que tenía no servía más quedando operativo.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;10/6/2024;Se le cambio lámpara de alta y baja lado derecho y se le agrego líquido de frenos;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;10/6/2024;Se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AF270OW;53;8A15SRYE5NL153760;10/6/2024;Se le cambio lámpara H7 lado izquierdo;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;10/6/2024;Se le cambio lamparas H7 delantera ambos lados.;JAVIER ACUÑA
AF608ZD;74;8A1D23009PL291540;10/6/2024;se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AG315HG;96;8A1D23007RL754391;18/6/2024;Se le reemplazo la batería ya que la que tenía no servía más;JAVIER ACUÑA
AF481PG;68;8A1D23009PL242158;18/6/2024; Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;18/6/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;18/6/2024; Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG196ZS;90;8A1D23004RL705066;25/6/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG278OY;92;8A1D23009RL754392;25/6/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;26/6/2024;Se le cambio las pastillas de frenos a los KM 26640;JAVIER ACUÑA
AG278OY;92;8A1D23009RL754392;3/7/2024;se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;3/7/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF047UR;43;8A1D2300XNL019690;3/7/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;3/7/2024;Se le realizó cambio de pastillas de frenos;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;3/7/2024;Se le cambio lámpara de alta y baja lado derecho ;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;6/7/2024;Se le cambio lámpara H7 lado derecho;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;6/7/2024;Se le agrego 2 litros de aceite.;JAVIER ACUÑA
AA909VM;16;93Y9SR5A6HJ634085;17/7/2024;Se le remplazo la batería ;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;17/7/2024;Se le reemplazo las dos cubiertas delanteras;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;17/7/2024;Se le reemplazo las pastillas de frenos;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;18/7/2024;se le realizó el cambio de lámparas de alta y baja ambos lados;JAVIER ACUÑA
MVE291;4;8A1CB2U01DL668972;22/7/2024;Se le reemplazo el termostato y el Bulbo de temperatura;JAVIER ACUÑA
AE870CQ;35;93Y9SR5A3MJ771069;24/7/2024;Se le cambio amortiguadores, cazoletas y grapodina delantero, Se le reemplazo conector manguera de agua;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;24/7/2024;Se le cambio lamparas trasera de posición y stop de ambos lados;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;24/7/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;24/7/2024;Se le cambio lámpara trasera de posición y stop lado izquierdo;JAVIER ACUÑA
AF333BT;58;8A15SRYE5PL235471;31/7/2024;Se le cambio las pastillas de frenos;JAVIER ACUÑA
AG366YU ;98;8A1D2300XRL750674;31/7/2024;Se le instalo nuevamente el barral valisas y se conecto la cámaras y DVR .;JAVIER ACUÑA
NXI182;11;8A1CB2U01EL282110;31/7/2024;Se le reemplazo el burro de arranque y se le cambio una manguera de agua;JAVIER ACUÑA
AG278OX;92;8A1D23009RL754392;5/8/2024;Se le agrego 3/4 litros aceite quedando a su nivel máximo.;JAVIER ACUÑA
AF333BT;58;8A15SRYE5PL235471;5/8/2024;Se le cambio lámpara de baja H7 de ambos lados y lámpara de frenos trasero lado izquierdo.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;6/8/2024;Se le cambio las pastillas de frenos a los KM 120277;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;13/8/2024;Se le reparo el barral valisas , Se le cambio lámpara de posición y stop lado derecho y se reparo las trabas de los cinturone;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;13/8/2024;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 93678.;JAVIER ACUÑA
AF047UQ;42;8A1D23007NL017668;13/8/2024;Se le realizó cambio de ruleman con masa lado izquierdo, Se le reemplazo los discos y pastillas de frenos delantero ambos lados, se le cambio la mordaza de frenos lado izquierdo, Se le colocó 2 cubiertas nuevas delanteras y se le cambio lámpara de posición delantera de ambos, lámpara trasera de posición y stop lado izquierdo;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;13/8/2024;Se le cambio lámpara de alta y baja lado derecho;JAVIER ACUÑA
AF047UR;43;8A1D2300XNL019690;13/8/2024;Se le reemplazo ruleman y masa delantera lado derecho quedando operativo a los KM 126132.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;19/8/2024;Se le reemplazo la batería ya que la que tenía no servía más a los KM 68166. ;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;19/8/2024;Se le realizó cambio de tensor y Correa poly-V, se cambio filtros y aceite, Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 151050.;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;19/8/2024;Se le reemplazo la batería ya que la que tenía no servía más a los KM 128310. Quedando operativo.;JAVIER ACUÑA
AF086CU;46;8A1D2300XNL061969;19/8/2024;Se le realizó cambio de amortiguadores delanteros, Se le reemplazo semieje delanteros lado izquierdo, Se le colocó 2 cubiertas nuevas delanteras y se le cambio la batería quedando operativo a los KM 128743.;JAVIER ACUÑA
AE870CP ;34;93Y9SR5A3MJ801143;22/8/2024;Se le reemplazo la batería ya que la que tenía no servía más a los KM 65.171. Quedando operativo.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;2/9/2024;Se le reparo las luces de posición traseras y delanteras ;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;2/9/2024;Se le reemplazo los 2 faros traseros;JAVIER ACUÑA
AC515JH;21;8A1FC1315JL121988;2/9/2024;Se le cambio las parrillas de suspensión delantera ambos lados, bujes de barra estabilizadora, se le reemplazo la junta homocinética lado izquierdo, Se le cambio el cable de embrague;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;2/9/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;3/9/2024;Se le realizó cambio de amortiguadores delanteros, Se le cambio ruleman y masa delantera lado derecho, Se le reemplazo mordaza de frenos lado derecho, se le cambio las pastillas de frenos ;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;3/9/2024; que se encuentra en el servicio Sitio 123 de Fiorito Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;3/9/2024;Se le cambio lámparas de posición delantera ambos lados.;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;3/9/2024;Se le reemplazo el barral valisas ya que el que tenía dejó de funcionar;JAVIER ACUÑA
AE937QW;40;8A1D23001NL017603;10/9/2024;Se le realizó cambio de amortiguadores delanteros y cambió de rotula inferior de parrilla lado izquierdo quedando operativo a los KM 96303.;JAVIER ACUÑA
AF333BW;61;8A15SRYE5PL235644;10/9/2024;Se le reemplazo las escobillas limpia parabrisas quedando operativo.;JAVIER ACUÑA
AG278OY;92;8A1D23009RL754392;10/9/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;10/9/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;10/9/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;10/9/2024;Se le colocó 2 cubiertas nuevas delanteras y se le cambio lámparas de posición delantera de ambos lados;JAVIER ACUÑA
AF757OU;76;8A1D23004PL388032;10/9/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;10/9/2024;Se le reemplazo la batería ya que la que tenía no servía;JAVIER ACUÑA
AF481OU;65;8A15SRYE5PL289181;10/9/2024;Se le realizó cambio de deposito de agua radiador , Se le realizó limpieza cuerpo aceleración, Se le reparo espejo retrovisor puerta izquierda y se dejo funcionado el sapito limpia parabrisas ;JAVIER ACUÑA
AF333BT;58;8A15SRYE5PL235471;10/9/2024;Se le realizó la regularización de los frenos y se le agrego 1/2 litro de aceite quedando ;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;10/9/2024;Se le cambio la batería ya que la que tenía no servía ;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;10/9/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;10/9/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;16/9/2024;Se le reemplazo el flexible de frenos lado derecho ya que el mismo se había roto;JAVIER ACUÑA
AF047UR;43;8A1D2300XNL019690;19/9/2024;Se le realizó cambio de manguera inferior del radiador;JAVIER ACUÑA
